"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","ProcessName","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"AdobeARM","1","523","303869952","5857280","9961472","32024","C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\AdobeARM.exe","""C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\AdobeARM.exe""",,"Adobe Inc.","65.828125","1.824.460.1149","1.824.460.1149","Adobe Reader and Acrobat Manager","Adobe Reader and Acrobat Manager","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2304","6",,"False","2026/5/3 10:34:12",,"7536",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","32024","32024","9961472","9961472","367688","367688","12214272","12214272","87543808","87543808","354263040","354263040","True","BelowNormal","9961472","9961472","255","1",,"System.Diagnostics.ProcessThreadCollection","523","303869952","303869952","False",,,,"5857280","5857280",,"System.Diagnostics.ProcessModule (AdobeARM.exe)","00:00:22.4531250","00:01:05.8281250","00:00:43.3750000","AdobeARM","0","","True",,
"AggregatorHost","0","210","2203479502848","17686528","3325952","12176",,,,,,,,,,"Process",,,"8",,,,,"4068",".",,,,"12176","12176","3325952","3325952","192264","192264","4284416","4284416","30539776","30539776","2203492524032","174301184",,,"3325952","3325952",,"0",,"System.Diagnostics.ProcessThreadCollection","210","2203479502848","161280000","False",,,,"17686528","17686528",,,,,,"AggregatorHost","0","","True",,
"ApplicationFrameHost","1","339","2203704475648","48660480","10207232","19592","C:\WINDOWS\system32\ApplicationFrameHost.exe","C:\WINDOWS\system32\ApplicationFrameHost.exe -Embedding",,"Microsoft Corporation","0.9375","10.0.26100.2454 (WinBuild.160101.0800)","10.0.26100.2454","Application Frame Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4440","8",,"False","2026/5/3 10:28:51",,"3304",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","19592","19592","10207232","10207232","579960","579960","14385152","14385152","56401920","56401920","2203753750528","435527680","True","Normal","10207232","10207232","255","1",,"System.Diagnostics.ProcessThreadCollection","339","2203704475648","386252800","False",,,,"48660480","48660480",,"System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","00:00:00.4375000","00:00:00.9375000","00:00:00.5000000","ApplicationFrameHost","328846","Settings","True",,
"armsvc","0","153","178262016","12554240","5246976","13192",,,,,,,,,,"Process",,,"8",,,,,"3400",".",,,,"13192","13192","5246976","5246976","115152","115152","6242304","6242304","14163968","14163968","186527744","186527744",,,"5246976","5246976",,"0",,"System.Diagnostics.ProcessThreadCollection","153","178262016","178262016","False",,,,"12554240","12554240",,,,,,"armsvc","0","","True",,
"ChsIME","1","140","2203460554752","12242944","1990656","8288",,,,,"0.046875",,,,,"Process",,,"8",,"False","2026/5/3 10:22:25",,"8812",".",,,,"8288","8288","1990656","1990656","184296","184296","2240512","2240512","13127680","13127680","2203464224768","146001920",,,"1990656","1990656",,"1",,"System.Diagnostics.ProcessThreadCollection","140","2203460554752","142331904","False",,,,"12242944","12242944",,,"00:00:00.0156250","00:00:00.0468750","00:00:00.0312500","ChsIME","0","","True",,
"Code","1","226","2255274201088","35180544","11198464","11344","C:\Users\stanleyzhu\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\stanleyzhu\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=crashpad-handler --user-data-dir=C:\Users\stanleyzhu\AppData\Roaming\Code /prefetch:4 --no-rate-limit --monitor-self-annotation=ptype=crashpad-handler --database=C:\Users\stanleyzhu\AppData\Roaming\Code\Crashpad --url=appcenter://code?aid=3712d786-7cc8-4f11-8b08-cc12eab6d4f7&uid=adfd1d64-82cd-4b2c-bfd9-9ae9741b53f6&iid=adfd1d64-82cd-4b2c-bfd9-9ae9741b53f6&sid=adfd1d64-82cd-4b2c-bfd9-9ae9741b53f6 --annotation=_companyName=Microsoft --annotation=_productName=VSCode --annotation=_version=1.118.1 --annotation=prod=Electron --annotation=ver=39.8.8 --initial-client-data=0x4b8,0x4bc,0x4c0,0x4b4,0x4c4,0x7ff71acf9430,0x7ff71acf9440,0x7ff71acf9450","System.Diagnostics.Process (Code)","Microsoft Corporation","0.140625","1.118.1","1.118.1","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4252","8",,"False","2026/5/3 19:10:54",,"1444",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","11344","11344","11198464","11198464","615096","615096","11366400","11366400","35319808","35319808","2255299366912","441536512","True","Normal","11198464","11198464","255","1",,"System.Diagnostics.ProcessThreadCollection","226","2255274201088","416370688","False",,,,"35180544","35180544",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:00.0468750","00:00:00.1406250","00:00:00.0937500","Code","0","","True",,
"Code","1","350","2238211145728","51990528","14417920","19624","C:\Users\stanleyzhu\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\stanleyzhu\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --user-data-dir=""C:\Users\stanleyzhu\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --field-trial-handle=1792,i,11580359922984010188,13280053486400701584,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EnableTransparentHwndEnlargement,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708989122997041 --mojo-platform-channel-handle=1904 /prefetch:11","System.Diagnostics.Process (Code)","Microsoft Corporation","3.453125","1.118.1","1.118.1","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2824","8",,"False","2026/5/3 19:10:55",,"1900",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","19624","19624","14417920","14417920","649712","649712","15978496","15978496","52912128","52912128","2238258446336","580485120","True","Normal","14417920","14417920","255","1",,"System.Diagnostics.ProcessThreadCollection","350","2238211145728","533184512","False",,,,"51990528","51990528",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:01.3125000","00:00:03.4531250","00:00:02.1406250","Code","0","","True",,
"Code","1","446","2238699909120","281780224","168235008","25000","C:\Users\stanleyzhu\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\stanleyzhu\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=gpu-process --user-data-dir=""C:\Users\stanleyzhu\AppData\Roaming\Code"" --gpu-preferences=SAAAAAAAAADgAAAEAAAAAAAAAAAAAGAAAQAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAQAAAAAAAAABAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --field-trial-handle=1792,i,11580359922984010188,13280053486400701584,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EnableTransparentHwndEnlargement,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708988185955192 --mojo-platform-channel-handle=1780 /prefetch:2","System.Diagnostics.Process (Code)","Microsoft Corporation","43.703125","1.118.1","1.118.1","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","256","10",,"False","2026/5/3 19:10:55",,"2072",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","25000","25000","168235008","168235008","1107536","1107536","275734528","275734528","475230208","475230208","2238835818496","1157857280","True","AboveNormal","168235008","168235008","255","1",,"System.Diagnostics.ProcessThreadCollection","446","2238699909120","1021947904","False",,,,"281780224","281780224",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:26.5468750","00:00:43.7031250","00:00:17.1562500","Code","0","","True",,
"Code","1","399","3695319056384","384413696","387870720","67664","C:\Users\stanleyzhu\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\stanleyzhu\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --dns-result-order=ipv4first --experimental-network-inspection --inspect-port=0 --video-capture-use-gpu-memory-buffer --user-data-dir=""C:\Users\stanleyzhu\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --field-trial-handle=1792,i,11580359922984010188,13280053486400701584,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EnableTransparentHwndEnlargement,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708991934122588 --mojo-platform-channel-handle=3584 /prefetch:14","System.Diagnostics.Process (Code)","Microsoft Corporation","78.1875","1.118.1","1.118.1","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4884","8",,"False","2026/5/3 19:10:56",,"2248",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","67664","67664","387870720","387870720","678128","678128","475115520","475115520","502620160","502620160","3695376015360","1704140800","True","Normal","387870720","387870720","255","1",,"System.Diagnostics.ProcessThreadCollection","399","3695319056384","1647181824","False",,,,"384413696","384413696",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:55.2187500","00:01:18.1875000","00:00:22.9687500","Code","0","","True",,
"Code","1","339","3695355736064","123760640","89681920","27488","C:\Users\stanleyzhu\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\stanleyzhu\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --video-capture-use-gpu-memory-buffer --user-data-dir=""C:\Users\stanleyzhu\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --field-trial-handle=1792,i,11580359922984010188,13280053486400701584,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EnableTransparentHwndEnlargement,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708993808206286 --mojo-platform-channel-handle=3804 /prefetch:14","System.Diagnostics.Process (Code)","Microsoft Corporation","42.75","1.118.1","1.118.1","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4176","8",,"False","2026/5/3 19:10:56",,"2692",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","27488","27488","89681920","89681920","656872","656872","90796032","90796032","125468672","125468672","3695406075904","1734201344","True","Normal","89681920","89681920","255","1",,"System.Diagnostics.ProcessThreadCollection","339","3695355736064","1683861504","False",,,,"123760640","123760640",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:31.9531250","00:00:42.7500000","00:00:10.7968750","Code","0","","True",,
