
 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName
 ------    -----      -----     ------      --  -- -----------
     31     9.50       5.20      42.31    7536   1 AdobeARM
     12     3.21      16.72       0.00    4068   0 AggregatorHost
     18     9.22      44.55       0.47    3304   1 ApplicationFrameHost
     13     5.00      11.45       0.00    3400   0 armsvc
      8     1.90      11.27       0.05    8812   1 ChsIME
     20   555.30     398.02      63.73   10096   1 claude
     11    10.66      32.75       0.14    1788   1 Code
     29   116.61     147.23      20.69    2316   1 Code
     68   377.27     182.81     129.39    2836   1 Code
     19    14.09      49.02       6.25    3120   1 Code
     31    94.35     163.43      93.45    4392   1 Code
     26   135.38     235.70     235.86    5812   1 Code
     18    31.71     113.09       0.77    7004   1 Code
     60   123.77     156.88     136.56    7184   1 Code
     28    83.13     108.60      34.89    8360   1 Code
     26    50.59     103.75       6.19    9736   1 Code
     48   289.99     324.28     429.36   10000   1 Code
     18    35.50     100.39       1.41   11144   1 Code
     38   112.68     131.38      43.44   11164   1 Code
      8     1.92       7.98       0.00    3484   0 coherence
      8     1.96       7.95       0.00    3756   1 coherence
      8     1.54       9.40       0.17    8880   1 conhost
     21     2.40       7.30       0.00     720   0 csrss
     28     3.82      42.56       0.00     808   1 csrss
     22     9.45      43.53       9.03    8264   1 ctfmon
      8     1.82      11.55       0.06    6308   1 dllhost
     24     5.83      20.39       0.42    7316   1 dllhost
     52   100.43     124.26       0.00    1776   1 dwm
    120   111.34     347.78      43.42    5632   1 explorer
      8     3.75       7.84       0.00     596   1 fontdrvhost
      6     1.77       4.00       0.00     684   0 fontdrvhost
      0     0.05       0.01       0.00       0   0 Idle
     25     9.25      31.84       0.00     960   0 lsass
      0     1.12     402.18       0.00    2488   0 Memory Compression
     21     6.96       7.90       0.00    5244   0 MicrosoftEdgeUpdate
     15     9.23      22.92       0.00    3456   0 MpDefenderCoreService
     21    20.73      46.91       9.33    1164   1 msedge
     20    16.26      38.73       1.30    1988   1 msedge
     28    93.66      15.37       7.61    2712   1 msedge
     14    11.54      30.63       1.20    4436   1 msedge
     25    83.14     166.34       7.42    4520   1 msedge
     33   113.16     106.33       9.05    6048   1 msedge
     31   167.48      14.82      12.58    7468   1 msedge
      9     2.40      10.29       0.09    8036   1 msedge
     12    10.45      19.86       0.86    9096   1 msedge
     17    20.14      30.54       0.62    9592   1 msedge
     10    10.82      19.34       1.02   10808   1 msedge
     65    80.91     181.27      25.80   11132   1 msedge
     19    43.33      93.40       1.59    2624   1 msedgewebview2
     18    12.89      36.88       1.48    2776   1 msedgewebview2
     44    43.08       8.04       3.59    3480   1 msedgewebview2
      9     2.38      10.58       0.03    5032   1 msedgewebview2
     18    15.26       4.63       1.91    5336   1 msedgewebview2
     31   171.63       5.34      10.52    6140   1 msedgewebview2
      9     2.37      10.11       0.06    7932   1 msedgewebview2
     19    60.90       3.61       2.59    8408   1 msedgewebview2
     42    37.73     104.95       7.20    8808   1 msedgewebview2
     10    10.50      18.92       0.66    9292   1 msedgewebview2
     23    25.82      54.27       0.78    9440   1 msedgewebview2
     10    13.02       0.01       0.52   10616   1 msedgewebview2
    234   304.18     232.40       0.00    3512   0 MsMpEng
     10     4.69      14.89       0.00    6672   0 NisSrv
     10     2.89      13.44       0.42    9016   1 OpenConsole
     40    10.86      51.28       8.98    8340   1 prl_cc
     18     2.84      12.59       0.00    3744   1 prl_tools
     16     2.88      13.38       0.00    3492   0 prl_tools_service
    124   123.43     236.95      24.72    5012   1 pwsh
     11     5.94      63.19       0.00     172   0 Registry
     14     7.98      34.00       0.80     356   1 RuntimeBroker
     10     2.77      16.64       0.36    6040   1 RuntimeBroker
     38    18.85      85.38       2.97    6936   1 RuntimeBroker
     23     8.98      49.59       1.39    7128   1 RuntimeBroker
     11     3.08      25.48       0.34   11172   1 RuntimeBroker
    135   168.41     302.85      11.94    6436   1 SearchHost
     18    17.65      34.94       0.00    9188   0 SearchIndexer
     19     8.26      25.83       0.00    8932   0 SecurityHealthService
     10     2.29      14.30       0.27    8912   1 SecurityHealthSystray
     12     4.97      11.46       0.00     952   0 services
     30    15.88      72.49       0.38    4908   1 ShellExperienceHost
     17     7.38      42.17       0.77    5644   1 ShellHost
     20     8.03      51.09       6.75    5068   1 sihost
      4     1.73       1.54       0.00     544   0 smss
     20     5.54      19.97       0.00    3108   0 spoolsv
     41    58.40     137.04       5.86    6512   1 StartMenuExperienceHost
     15     2.33      11.48       0.00     584   0 svchost
     23    10.14      39.94       0.00     792   0 svchost
     12     4.02      17.82       0.00    1084   0 svchost
     19     7.13      17.47       0.00    1156   0 svchost
     11     3.12      13.99       0.00    1200   0 svchost
      7     1.52       6.75       0.00    1296   0 svchost
     21     4.34       8.30       0.00    1312   0 svchost
     13     3.52      19.50       0.00    1380   0 svchost
     17     3.59      12.13       0.00    1396   0 svchost
     11     2.63      10.54       0.00    1424   0 svchost
     12     2.97      13.89       0.00    1452   0 svchost
      9     2.53      17.43       0.00    1460   0 svchost
      8     1.75       7.53       0.00    1588   0 svchost
     10     2.34       9.92       0.00    1604   0 svchost
     19     5.30      20.05       0.00    1624   0 svchost
      8     1.82       9.24       0.00    1672   0 svchost
     15     5.86      16.77       0.00    1852   0 svchost
     12     2.67      12.82       0.00    1892   0 svchost
     13    13.85      18.62       0.00    2008   0 svchost
      9     2.20      10.09       0.00    2128   0 svchost
      7     1.55       7.64       0.00    2152   0 svchost
     12     3.32      20.77       0.00    2164   0 svchost
     10     2.96      13.76       0.00    2172   0 svchost
      7     1.91       7.93       0.00    2288   0 svchost
     10     3.24      16.99       0.00    2448   0 svchost
     14     2.69      12.68       0.00    2460   0 svchost
     10     2.15      10.33       0.00    2584   0 svchost
     10     2.14      10.97       0.00    2592   0 svchost
      7     1.71       9.06       0.00    2740   0 svchost
     13     3.55      19.61       0.00    2760   0 svchost
     10     2.36      12.39       0.00    2864   0 svchost
     14     3.23      20.89       0.00    2940   0 svchost
     32    11.30      29.72       0.00    2964   0 svchost
     19    11.71      29.61       0.00    2972   0 svchost
      9    16.95      30.09       0.00    3028   0 svchost
     10     2.15       9.98       0.00    3212   0 svchost
     16     3.27      15.09       0.00    3388   0 svchost
     27     4.73      20.83       0.00    3408   0 svchost
     15     4.84      25.70       0.55    3468   1 svchost
      9     2.21      13.27       0.28    3472   1 svchost
     12     5.98      16.09       0.00    3524   0 svchost
     25    20.36      53.59       0.00    3532   0 svchost
     16    26.38      33.69       0.00    3544   0 svchost
     14     6.89      21.34       0.00    3552   0 svchost
     13     3.45      13.85       0.00    3572   0 svchost
     18     5.18      30.17       0.00    3604   0 svchost
     11     2.81      12.34       0.00    3688   0 svchost
      8     2.18      12.37       0.23    3924   1 svchost
     23     4.13      18.50       0.00    3936   0 svchost
     16     7.48      41.18       1.30    4020   1 svchost
     12     3.11      19.26       0.00    4056   0 svchost
      8     1.92      11.29       0.00    5180   0 svchost
     10     2.96      16.38       0.00    5256   0 svchost
     13     4.05      30.07       0.00    5264   0 svchost
     17     5.01      23.07       0.00    5488   0 svchost
     12     3.37      18.93       0.00    5700   0 svchost
     11     2.58      12.52       0.00    5744   0 svchost
     16     5.38      35.66       2.12    5904   1 svchost
     10     3.27      17.73       0.00    5976   0 svchost
     11     2.92      13.09       0.00    6196   0 svchost
     14     4.41      27.12       0.77    6924   1 svchost
     11     5.35      17.86       0.00    6984   0 svchost
     41     2.08      10.69       0.00    7720   0 svchost
     10     2.64      15.78       0.00    7728   0 svchost
     13     2.18      11.89       0.00    8520   0 svchost
     11     3.28      14.82       0.00   10728   0 svchost
     13     3.37      18.26       0.28   11156   1 svchost
     11     3.38      16.63       0.00   11216   0 svchost
      0     0.18       0.32       0.00       4   0 System
     60    62.93       3.42       0.92    3980   1 SystemSettings
     32     6.46      23.78       1.55    4612   1 taskhostw
     34    22.94      91.37       7.48    9176   1 TextInputHost
     46    25.55      99.15     520.81    9140   1 WebViewHost
     32    13.13      72.41       3.00    8076   1 Widgets
     11     1.63       8.85       0.00     800   0 wininit
     13     3.26      15.09       0.00     900   1 winlogon
     11     2.11       9.46       0.00     600   0 WUDFHost
     66     6.45       8.09       0.00    2020   0 XtaCache

